Index,Timestamp,Spot,Put Strike,Put LTP,Put Entry,Call Strike,Call LTP,Call Entry,Sold Premium,Current Premium,PNL
0,09:20:54,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
1,09:20:57,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
2,09:21:01,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
3,09:21:04,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
4,09:21:08,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
5,09:21:11,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
6,09:21:15,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
7,09:21:19,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
8,09:21:22,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
9,09:21:26,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
10,09:21:29,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
11,09:21:33,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
12,09:21:36,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
13,09:21:41,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
14,09:21:45,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
15,09:21:48,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
16,09:21:52,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
17,09:21:55,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
18,09:21:59,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
19,09:22:03,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
20,09:22:06,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
21,09:22:09,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
22,09:22:14,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
23,09:22:18,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
24,09:22:21,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
25,09:22:25,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
26,09:22:28,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
27,09:22:32,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
28,09:22:36,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
29,09:22:40,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
30,09:22:43,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
31,09:22:47,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
32,09:22:50,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
33,09:22:54,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
34,09:22:58,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
35,09:23:02,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
36,09:23:05,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
37,09:23:09,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
38,09:23:12,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
39,09:23:16,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
40,09:23:20,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
41,09:23:24,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
42,09:23:28,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
43,09:23:32,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
44,09:23:36,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
45,09:23:40,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
46,09:23:44,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
47,09:23:48,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
48,09:23:52,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
49,09:23:56,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
50,09:23:59,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
51,09:24:03,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
52,09:24:07,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
53,09:24:10,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
54,09:24:14,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
55,09:24:18,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
56,09:24:22,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
57,09:24:25,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
58,09:24:29,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
59,09:24:33,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
60,09:24:37,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
61,09:24:41,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
62,09:24:46,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
63,09:24:50,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
64,09:24:54,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
65,09:24:57,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
66,09:25:01,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
67,09:25:05,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
68,09:25:08,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
69,09:25:11,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
70,09:25:15,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
71,09:25:19,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
72,09:25:23,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
73,09:25:26,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
74,09:25:30,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
75,09:25:33,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
76,09:25:36,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
77,09:25:40,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
78,09:25:44,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
79,09:25:48,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
80,09:25:51,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
81,09:25:54,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
82,09:25:58,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
83,09:26:02,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
84,09:26:06,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
85,09:26:09,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
86,09:26:14,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
87,09:26:17,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
88,09:26:21,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
89,09:26:24,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
90,09:26:29,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
91,09:26:32,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
92,09:26:36,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
93,09:26:39,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
94,09:26:43,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
95,09:26:47,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
96,09:26:50,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
97,09:26:53,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
98,09:26:57,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
99,09:27:00,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
100,09:27:04,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
101,09:27:08,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
102,09:27:12,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
103,09:27:16,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
104,09:27:20,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
105,09:27:24,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
106,09:27:28,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
107,09:27:32,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
108,09:27:35,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
109,09:27:39,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
110,09:27:42,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
111,09:27:46,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
112,09:27:49,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
113,09:27:53,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
114,09:27:57,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
115,09:28:00,22327,22050 PE,42.1,42.1,22600 CE,44.55,44.55,86.65,86.65,0.0
