Index,Timestamp,Spot,Put Strike,Put LTP,Put Entry,Call Strike,Call LTP,Call Entry,Sold Premium,Current Premium,PNL
0,11:04:45,22168,22000 PE,20.6,20.8,22350 CE,19.05,18.85,39.65,39.65,0.0
1,11:04:48,22169,22000 PE,20.85,20.8,22350 CE,18.65,18.85,39.65,39.5,0.15
2,11:04:51,22169,22000 PE,21.0,20.8,22350 CE,18.8,18.85,39.65,39.8,-0.15
3,11:04:55,22169,22000 PE,21.0,20.8,22350 CE,18.6,18.85,39.65,39.6,0.05
4,11:04:58,22169,22000 PE,20.85,20.8,22350 CE,19.0,18.85,39.65,39.85,-0.2
5,11:05:02,22170,22000 PE,20.9,20.8,22350 CE,19.0,18.85,39.65,39.9,-0.25
6,11:05:05,22171,22000 PE,21.05,20.8,22350 CE,19.05,18.85,39.65,40.1,-0.45
7,11:05:09,22170,22000 PE,20.8,20.8,22350 CE,18.9,18.85,39.65,39.7,-0.05
8,11:05:13,22170,22000 PE,21.0,20.8,22350 CE,18.9,18.85,39.65,39.9,-0.25
9,11:05:17,22169,22000 PE,21.3,20.8,22350 CE,18.8,18.85,39.65,40.1,-0.45
10,11:05:20,22170,22000 PE,21.25,20.8,22350 CE,18.7,18.85,39.65,39.95,-0.3
11,11:05:24,22168,22000 PE,21.35,20.8,22350 CE,18.5,18.85,39.65,39.85,-0.2
12,11:05:28,22167,22000 PE,21.3,20.8,22350 CE,18.35,18.85,39.65,39.65,0.0
13,11:05:31,22168,22000 PE,21.3,20.8,22350 CE,18.5,18.85,39.65,39.8,-0.15
14,11:05:35,22166,22000 PE,21.6,20.8,22350 CE,18.1,18.85,39.65,39.7,-0.05
15,11:05:39,22166,22000 PE,21.6,20.8,22350 CE,18.35,18.85,39.65,39.95,-0.3
16,11:05:42,22167,22000 PE,21.7,20.8,22350 CE,17.95,18.85,39.65,39.65,0.0
17,11:05:46,22165,22000 PE,21.7,20.8,22350 CE,18.05,18.85,39.65,39.75,-0.1
18,11:05:50,22165,22000 PE,21.85,20.8,22350 CE,17.9,18.85,39.65,39.75,-0.1
19,11:05:54,22165,22000 PE,21.6,20.8,22350 CE,18.05,18.85,39.65,39.65,0.0
20,11:05:57,22165,22000 PE,21.85,20.8,22350 CE,17.85,18.85,39.65,39.7,-0.05
21,11:06:01,22165,22000 PE,21.75,20.8,22350 CE,17.85,18.85,39.65,39.6,0.05
22,11:06:05,22166,22000 PE,21.75,20.8,22350 CE,17.7,18.85,39.65,39.45,0.2
23,11:06:08,22166,22000 PE,21.75,20.8,22350 CE,17.75,18.85,39.65,39.5,0.15
24,11:06:11,22167,22000 PE,21.7,20.8,22350 CE,17.85,18.85,39.65,39.55,0.1
25,11:06:15,22167,22000 PE,21.7,20.8,22350 CE,17.8,18.85,39.65,39.5,0.15
26,11:06:19,22168,22000 PE,21.7,20.8,22350 CE,18.0,18.85,39.65,39.7,-0.05
27,11:06:22,22167,22000 PE,21.8,20.8,22350 CE,17.75,18.85,39.65,39.55,0.1
28,11:06:26,22165,22000 PE,21.7,20.8,22350 CE,18.05,18.85,39.65,39.75,-0.1
29,11:06:29,22166,22000 PE,21.6,20.8,22350 CE,18.0,18.85,39.65,39.6,0.05
30,11:06:33,22167,22000 PE,21.6,20.8,22350 CE,18.15,18.85,39.65,39.75,-0.1
31,11:06:36,22167,22000 PE,21.8,20.8,22350 CE,17.95,18.85,39.65,39.75,-0.1
32,11:06:40,22168,22000 PE,21.75,20.8,22350 CE,18.1,18.85,39.65,39.85,-0.2
33,11:06:44,22166,22000 PE,21.6,20.8,22350 CE,18.0,18.85,39.65,39.6,0.05
34,11:06:47,22168,22000 PE,21.55,20.8,22350 CE,17.95,18.85,39.65,39.5,0.15
35,11:06:51,22165,22000 PE,21.65,20.8,22350 CE,18.0,18.85,39.65,39.65,0.0
36,11:06:54,22165,22000 PE,21.7,20.8,22350 CE,17.8,18.85,39.65,39.5,0.15
37,11:06:58,22166,22000 PE,21.75,20.8,22350 CE,17.8,18.85,39.65,39.55,0.1
38,11:07:01,22166,22000 PE,21.7,20.8,22350 CE,17.65,18.85,39.65,39.35,0.3
39,11:07:04,22166,22000 PE,21.6,20.8,22350 CE,17.6,18.85,39.65,39.2,0.45
40,11:07:08,22166,22000 PE,21.75,20.8,22350 CE,17.6,18.85,39.65,39.35,0.3
41,11:07:11,22166,22000 PE,21.8,20.8,22350 CE,17.25,18.85,39.65,39.05,0.6
42,11:07:14,22165,22000 PE,21.8,20.8,22350 CE,17.25,18.85,39.65,39.05,0.6
43,11:07:18,22165,22000 PE,21.8,20.8,22350 CE,17.15,18.85,39.65,38.95,0.7
44,11:07:21,22164,22000 PE,21.95,20.8,22350 CE,17.1,18.85,39.65,39.05,0.6
45,11:07:25,22162,22000 PE,21.85,20.8,22350 CE,17.3,18.85,39.65,39.15,0.5
46,11:07:29,22164,22000 PE,21.85,20.8,22350 CE,17.05,18.85,39.65,38.9,0.75
47,11:07:32,22163,22000 PE,22.0,20.8,22350 CE,17.1,18.85,39.65,39.1,0.55
