Index,Timestamp,Spot,Put Strike,Put LTP,Put Entry,Call Strike,Call LTP,Call Entry,Sold Premium,Current Premium,PNL
34,09:22:28,22213,22100 PE,15.0,16.0,22300 CE,22.65,16.25,32.25,37.65,-13.3
35,09:22:34,22216,22100 PE,15.65,16.0,22300 CE,24.45,16.25,32.25,40.1,-15.75
36,09:22:38,22215,22100 PE,15.7,16.0,22300 CE,22.55,16.25,32.25,38.25,-13.9
37,09:22:41,22212,22100 PE,15.2,16.0,22300 CE,23.0,16.25,32.25,38.2,-13.85
38,09:22:45,22216,22100 PE,15.15,16.0,22300 CE,23.15,16.25,32.25,38.3,-13.95
39,09:22:48,22215,22100 PE,14.6,16.0,22300 CE,24.05,16.25,32.25,38.65,-14.3
40,09:22:53,22217,22100 PE,14.75,16.0,22300 CE,22.9,16.25,32.25,37.65,-13.3
41,09:22:58,22214,22100 PE,14.45,16.0,22300 CE,22.75,16.25,32.25,37.2,-12.85
42,09:23:01,22215,22100 PE,14.15,16.0,22300 CE,23.0,16.25,32.25,37.15,-12.8
43,09:23:05,22215,22100 PE,14.1,16.0,22300 CE,23.5,16.25,32.25,37.6,-13.25
44,09:23:10,22215,22100 PE,14.15,16.0,22300 CE,23.25,16.25,32.25,37.4,-13.05
45,09:23:14,22215,22100 PE,14.0,16.0,22300 CE,22.2,16.25,32.25,36.2,-11.85
46,09:23:18,22213,22100 PE,14.1,16.0,22300 CE,22.9,16.25,32.25,37.0,-12.65
47,09:23:21,22214,22100 PE,14.05,16.0,22300 CE,23.15,16.25,32.25,37.2,-12.85
48,09:23:25,22216,22100 PE,14.05,16.0,22300 CE,23.15,16.25,32.25,37.2,-12.85
49,09:23:28,22215,22100 PE,14.15,16.0,22300 CE,22.85,16.25,32.25,37.0,-12.65
50,09:23:33,22213,22100 PE,14.25,16.0,22300 CE,22.1,16.25,32.25,36.35,-12.0
51,09:23:37,22213,22100 PE,14.0,16.0,22300 CE,22.7,16.25,32.25,36.7,-12.35
52,09:23:41,22214,22100 PE,14.3,16.0,22300 CE,22.5,16.25,32.25,36.8,-12.45
53,09:23:45,22212,22100 PE,14.35,16.0,22300 CE,22.45,16.25,32.25,36.8,-12.45
54,09:23:48,22213,22100 PE,14.45,16.0,22300 CE,22.55,16.25,32.25,37.0,-12.65
55,09:23:52,22213,22100 PE,14.45,16.0,22300 CE,22.6,16.25,32.25,37.05,-12.7
56,09:23:56,22215,22100 PE,14.4,16.0,22300 CE,22.9,16.25,32.25,37.3,-12.95
57,09:23:59,22216,22100 PE,14.2,16.0,22300 CE,24.35,16.25,32.25,38.55,-14.2
58,09:24:03,22218,22100 PE,14.55,16.0,22300 CE,23.65,16.25,32.25,38.2,-13.85
59,09:24:07,22218,22100 PE,14.5,16.0,22300 CE,24.55,16.25,32.25,39.05,-14.7
60,09:24:12,22217,22100 PE,14.55,16.0,22300 CE,22.9,16.25,32.25,37.45,-13.1
61,09:24:15,22216,22100 PE,14.65,16.0,22300 CE,23.3,16.25,32.25,37.95,-13.6
62,09:24:19,22215,22100 PE,14.65,16.0,22300 CE,23.5,16.25,32.25,38.15,-13.8
63,09:24:22,22213,22100 PE,14.9,16.0,22300 CE,22.75,16.25,32.25,37.65,-13.3
64,09:24:27,22212,22100 PE,14.8,16.0,22300 CE,22.75,16.25,32.25,37.55,-13.2
65,09:24:30,22212,22100 PE,14.8,16.0,22300 CE,22.6,16.25,32.25,37.4,-13.05
66,09:24:34,22212,22100 PE,15.15,16.0,22300 CE,20.95,16.25,32.25,36.1,-11.75
67,09:24:38,22211,22100 PE,14.85,16.0,22300 CE,21.9,16.25,32.25,36.75,-12.4
68,09:24:42,22211,22100 PE,14.95,16.0,22300 CE,21.3,16.25,32.25,36.25,-11.9
69,09:24:45,22210,22100 PE,14.9,16.0,22300 CE,20.55,16.25,32.25,35.45,-11.1
70,09:24:49,22211,22100 PE,14.55,16.0,22300 CE,21.55,16.25,32.25,36.1,-11.75
71,09:24:53,22213,22100 PE,14.4,16.0,22300 CE,21.9,16.25,32.25,36.3,-11.95
72,09:24:57,22211,22100 PE,14.65,16.0,22300 CE,21.5,16.25,32.25,36.15,-11.8
73,09:25:01,22214,22100 PE,14.25,16.0,22300 CE,22.3,16.25,32.25,36.55,-12.2
74,09:25:05,22213,22100 PE,14.45,16.0,22300 CE,21.75,16.25,32.25,36.2,-11.85
75,09:25:09,22213,22100 PE,14.5,16.0,22300 CE,22.05,16.25,32.25,36.55,-12.2
76,09:25:12,22214,22100 PE,14.35,16.0,22300 CE,22.2,16.25,32.25,36.55,-12.2
77,09:25:17,22214,22100 PE,14.25,16.0,22300 CE,22.15,16.25,32.25,36.4,-12.05
78,09:25:22,22214,22100 PE,14.25,16.0,22300 CE,21.8,16.25,32.25,36.05,-11.7
79,09:25:26,22211,22100 PE,14.45,16.0,22300 CE,21.45,16.25,32.25,35.9,-11.55
80,09:25:30,22213,22100 PE,14.45,16.0,22300 CE,21.75,16.25,32.25,36.2,-11.85
81,09:25:33,22213,22100 PE,14.45,16.0,22300 CE,21.85,16.25,32.25,36.3,-11.95
82,09:25:36,22211,22100 PE,14.85,16.0,22300 CE,21.0,16.25,32.25,35.85,-11.5
83,09:25:40,22208,22100 PE,14.9,16.0,22300 CE,20.85,16.25,32.25,35.75,-11.4
84,09:25:43,22209,22100 PE,14.9,16.0,22300 CE,21.0,16.25,32.25,35.9,-11.55
85,09:25:47,22212,22100 PE,14.8,16.0,22300 CE,21.65,16.25,32.25,36.45,-12.1
86,09:25:50,22211,22100 PE,14.8,16.0,22300 CE,22.3,16.25,32.25,37.1,-12.75
87,09:25:55,22213,22100 PE,14.85,16.0,22300 CE,21.85,16.25,32.25,36.7,-12.35
88,09:25:59,22214,22100 PE,14.7,16.0,22300 CE,22.2,16.25,32.25,36.9,-12.55
89,09:26:03,22212,22100 PE,14.3,16.0,22300 CE,22.25,16.25,32.25,36.55,-12.2
90,09:26:07,22214,22100 PE,14.2,16.0,22300 CE,22.1,16.25,32.25,36.3,-11.95
91,09:26:10,22214,22100 PE,14.0,16.0,22300 CE,22.7,16.25,32.25,36.7,-12.35
92,09:26:14,22214,22100 PE,14.0,16.0,22300 CE,22.45,16.25,32.25,36.45,-12.1
93,09:26:18,22212,22100 PE,14.15,16.0,22300 CE,22.1,16.25,32.25,36.25,-11.9
94,09:26:22,22213,22100 PE,14.4,16.0,22300 CE,21.4,16.25,32.25,35.8,-11.45
95,09:26:27,22212,22100 PE,14.35,16.0,22300 CE,21.7,16.25,32.25,36.05,-11.7
96,09:26:32,22212,22100 PE,14.25,16.0,22300 CE,21.75,16.25,32.25,36.0,-11.65
97,09:26:35,22213,22100 PE,14.15,16.0,22300 CE,21.85,16.25,32.25,36.0,-11.65
98,09:26:39,22213,22100 PE,14.1,16.0,22300 CE,22.1,16.25,32.25,36.2,-11.85
99,09:26:43,22214,22100 PE,14.0,16.0,22300 CE,22.05,16.25,32.25,36.05,-11.7
100,09:26:47,22213,22100 PE,14.15,16.0,22300 CE,21.6,16.25,32.25,35.75,-11.4
101,09:26:51,22213,22100 PE,13.85,16.0,22300 CE,22.75,16.25,32.25,36.6,-12.25
102,09:26:55,22219,22100 PE,12.9,16.0,22300 CE,24.85,16.25,32.25,37.75,-13.4
103,09:26:59,22219,22100 PE,13.1,16.0,22300 CE,24.4,16.25,32.25,37.5,-13.15
104,09:27:03,22218,22100 PE,13.35,16.0,22300 CE,23.65,16.25,32.25,37.0,-12.65
105,09:27:06,22218,22100 PE,13.1,16.0,22300 CE,24.4,16.25,32.25,37.5,-13.15
106,09:27:11,22223,22100 PE,13.1,16.0,22300 CE,25.45,16.25,32.25,38.55,-14.2
107,09:27:14,22222,22100 PE,12.85,16.0,22300 CE,25.1,16.25,32.25,37.95,-13.6
108,09:27:17,22221,22100 PE,12.85,16.0,22300 CE,25.6,16.25,32.25,38.45,-14.1
109,09:27:21,22222,22100 PE,13.0,16.0,22300 CE,24.85,16.25,32.25,37.85,-13.5
110,09:27:25,22220,22100 PE,12.85,16.0,22300 CE,24.2,16.25,32.25,37.05,-12.7
111,09:27:29,22220,22100 PE,12.7,16.0,22300 CE,25.0,16.25,32.25,37.7,-13.35
112,09:27:33,22221,22100 PE,12.6,16.0,22300 CE,25.35,16.25,32.25,37.95,-13.6
113,09:27:36,22222,22100 PE,12.75,16.0,22300 CE,24.6,16.25,32.25,37.35,-13.0
114,09:27:40,22220,22100 PE,12.75,16.0,22300 CE,24.35,16.25,32.25,37.1,-12.75
115,09:27:44,22220,22100 PE,12.85,16.0,22300 CE,23.6,16.25,32.25,36.45,-12.1
116,09:27:48,22220,22100 PE,12.85,16.0,22300 CE,23.75,16.25,32.25,36.6,-12.25
117,09:27:52,22219,22100 PE,12.7,16.0,22300 CE,24.15,16.25,32.25,36.85,-12.5
118,09:27:56,22220,22100 PE,12.65,16.0,22300 CE,24.5,16.25,32.25,37.15,-12.8
119,09:28:00,22221,22100 PE,12.75,16.0,22300 CE,24.05,16.25,32.25,36.8,-12.45
120,09:28:04,22219,22100 PE,12.55,16.0,22300 CE,24.1,16.25,32.25,36.65,-12.3
121,09:28:07,22219,22100 PE,12.6,16.0,22300 CE,24.5,16.25,32.25,37.1,-12.75
122,09:28:12,22220,22100 PE,12.6,16.0,22300 CE,23.9,16.25,32.25,36.5,-12.15
123,09:28:15,22221,22100 PE,12.45,16.0,22300 CE,24.3,16.25,32.25,36.75,-12.4
124,09:28:20,22218,22100 PE,12.7,16.0,22300 CE,23.35,16.25,32.25,36.05,-11.7
125,09:28:23,22217,22100 PE,12.9,16.0,22300 CE,22.6,16.25,32.25,35.5,-11.15
126,09:28:27,22217,22100 PE,12.55,16.0,22300 CE,23.5,16.25,32.25,36.05,-11.7
127,09:28:30,22217,22100 PE,12.7,16.0,22300 CE,23.1,16.25,32.25,35.8,-11.45
128,09:28:34,22215,22100 PE,12.65,16.0,22300 CE,23.15,16.25,32.25,35.8,-11.45
129,09:28:38,22216,22100 PE,12.65,16.0,22300 CE,22.15,16.25,32.25,34.8,-10.45
130,09:28:42,22216,22100 PE,12.75,16.0,22300 CE,22.15,16.25,32.25,34.9,-10.55
131,09:28:46,22216,22100 PE,12.95,16.0,22300 CE,22.25,16.25,32.25,35.2,-10.85
132,09:28:50,22215,22100 PE,12.85,16.0,22300 CE,22.4,16.25,32.25,35.25,-10.9
133,09:28:54,22215,22100 PE,13.0,16.0,22300 CE,21.95,16.25,32.25,34.95,-10.6
134,09:28:59,22215,22100 PE,12.9,16.0,22300 CE,21.15,16.25,32.25,34.05,-9.7
135,09:29:02,22212,22100 PE,13.2,16.0,22300 CE,20.8,16.25,32.25,34.0,-9.65
136,09:29:06,22213,22100 PE,13.2,16.0,22300 CE,21.5,16.25,32.25,34.7,-10.35
137,09:29:10,22212,22100 PE,13.05,16.0,22300 CE,21.7,16.25,32.25,34.75,-10.4
138,09:29:13,22213,22100 PE,13.15,16.0,22300 CE,21.45,16.25,32.25,34.6,-10.25
139,09:29:17,22212,22100 PE,13.15,16.0,22300 CE,21.25,16.25,32.25,34.4,-10.05
140,09:29:20,22211,22100 PE,13.1,16.0,22300 CE,20.9,16.25,32.25,34.0,-9.65
141,09:29:24,22213,22100 PE,13.0,16.0,22300 CE,21.3,16.25,32.25,34.3,-9.95
142,09:29:28,22212,22100 PE,12.9,16.0,22300 CE,21.5,16.25,32.25,34.4,-10.05
143,09:29:32,22213,22100 PE,12.75,16.0,22300 CE,21.3,16.25,32.25,34.05,-9.7
144,09:29:36,22211,22100 PE,12.85,16.0,22300 CE,20.55,16.25,32.25,33.4,-9.05
145,09:29:40,22211,22100 PE,13.2,16.0,22300 CE,19.65,16.25,32.25,32.85,-8.5
146,09:29:44,22212,22100 PE,12.95,16.0,22300 CE,20.5,16.25,32.25,33.45,-9.1
147,09:29:48,22214,22100 PE,12.0,16.0,22300 CE,22.1,16.25,32.25,34.1,-9.75
148,09:29:52,22216,22100 PE,11.85,16.0,22300 CE,21.7,16.25,32.25,33.55,-9.2
149,09:29:55,22217,22100 PE,11.8,16.0,22300 CE,21.8,16.25,32.25,33.6,-9.25
150,09:29:59,22218,22100 PE,11.6,16.0,22300 CE,21.95,16.25,32.25,33.55,-9.2
151,09:30:02,22218,22100 PE,11.25,16.0,22300 CE,22.25,16.25,32.25,33.5,-9.15
152,09:30:06,22218,22100 PE,11.55,16.0,22300 CE,21.2,16.25,32.25,32.75,-8.4
153,09:30:09,22215,22100 PE,11.55,16.0,22300 CE,21.3,16.25,32.25,32.85,-8.5
154,09:30:13,22216,22100 PE,11.25,16.0,22300 CE,21.95,16.25,32.25,33.2,-8.85
155,09:30:16,22219,22100 PE,11.0,16.0,22300 CE,22.4,16.25,32.25,33.4,-9.05
156,09:30:20,22220,22100 PE,11.2,16.0,22300 CE,22.05,16.25,32.25,33.25,-8.9
157,09:30:23,22218,22100 PE,11.45,16.0,22300 CE,21.85,16.25,32.25,33.3,-8.95
158,09:30:26,22217,22100 PE,11.75,16.0,22300 CE,21.35,16.25,32.25,33.1,-8.75
159,09:30:30,22216,22100 PE,11.8,16.0,22300 CE,21.25,16.25,32.25,33.05,-8.7
