Index,Timestamp,Spot,Put Strike,Put LTP,Put Entry,Call Strike,Call LTP,Call Entry,Sold Premium,Current Premium,PNL
0,09:20:44,22055,21800 PE,32.55,30.9,22300 CE,36.05,37.85,68.75,68.6,0.15
1,09:20:48,22052,21800 PE,32.55,30.9,22300 CE,36.05,37.85,68.75,68.6,0.15
2,09:20:51,22054,21800 PE,32.45,30.9,22300 CE,36.3,37.85,68.75,68.75,0.0
3,09:20:56,22057,21800 PE,32.4,30.9,22300 CE,36.5,37.85,68.75,68.9,-0.15
4,09:21:01,22057,21800 PE,32.2,30.9,22300 CE,36.7,37.85,68.75,68.9,-0.15
5,09:21:05,22055,21800 PE,31.75,30.9,22300 CE,36.6,37.85,68.75,68.35,0.4
6,09:21:09,22060,21800 PE,31.4,30.9,22300 CE,37.15,37.85,68.75,68.55,0.2
7,09:21:13,22060,21800 PE,30.8,30.9,22300 CE,37.7,37.85,68.75,68.5,0.25
8,09:21:17,22062,21800 PE,30.85,30.9,22300 CE,37.65,37.85,68.75,68.5,0.25
9,09:21:22,22061,21800 PE,31.65,30.9,22300 CE,36.8,37.85,68.75,68.45,0.3
10,09:21:26,22059,21800 PE,31.3,30.9,22300 CE,36.9,37.85,68.75,68.2,0.55
11,09:21:30,22057,21800 PE,31.6,30.9,22300 CE,36.55,37.85,68.75,68.15,0.6
12,09:21:33,22059,21800 PE,31.45,30.9,22300 CE,36.55,37.85,68.75,68.0,0.75
13,09:21:37,22061,21800 PE,31.25,30.9,22300 CE,36.8,37.85,68.75,68.05,0.7
14,09:21:40,22061,21800 PE,32.0,30.9,22300 CE,36.3,37.85,68.75,68.3,0.45
15,09:21:44,22059,21800 PE,31.8,30.9,22300 CE,36.15,37.85,68.75,67.95,0.8
16,09:21:49,22061,21800 PE,31.65,30.9,22300 CE,36.7,37.85,68.75,68.35,0.4
17,09:21:53,22062,21800 PE,31.6,30.9,22300 CE,36.1,37.85,68.75,67.7,1.05
18,09:21:57,22060,21800 PE,31.25,30.9,22300 CE,36.45,37.85,68.75,67.7,1.05
19,09:22:01,22061,21800 PE,31.25,30.9,22300 CE,36.7,37.85,68.75,67.95,0.8
20,09:22:06,22062,21800 PE,30.85,30.9,22300 CE,36.9,37.85,68.75,67.75,1.0
21,09:22:10,22063,21800 PE,30.7,30.9,22300 CE,37.4,37.85,68.75,68.1,0.65
22,09:22:13,22064,21800 PE,30.9,30.9,22300 CE,37.05,37.85,68.75,67.95,0.8
23,09:22:17,22065,21800 PE,30.7,30.9,22300 CE,37.4,37.85,68.75,68.1,0.65
24,09:22:21,22063,21800 PE,30.75,30.9,22300 CE,37.3,37.85,68.75,68.05,0.7
25,09:22:25,22062,21800 PE,31.0,30.9,22300 CE,36.7,37.85,68.75,67.7,1.05
26,09:22:28,22061,21800 PE,31.4,30.9,22300 CE,36.3,37.85,68.75,67.7,1.05
27,09:22:32,22059,21800 PE,31.4,30.9,22300 CE,36.15,37.85,68.75,67.55,1.2
