09:20:54 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:20:57 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:01 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:04 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:08 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:11 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:15 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:19 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:22 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:26 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:29 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:33 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:36 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:41 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:45 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:48 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:52 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:55 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:21:59 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:03 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:06 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:09 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:14 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:18 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:21 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:25 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
09:22:28 | 22050 PE current:42.1 entry:42.1 | 22600 CE current:44.55 entry:44.55 | PNL = 0.0
