09:20:55 | 22250 PE current:44.75 entry:43.9 | 22750 CE current:42.55 entry:41.95 | PNL = -1.45
09:20:59 | 22250 PE current:44.35 entry:43.9 | 22750 CE current:42.2 entry:41.95 | PNL = -0.7
09:21:03 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:41.75 entry:41.95 | PNL = -0.5
09:21:06 | 22250 PE current:44.3 entry:43.9 | 22750 CE current:41.5 entry:41.95 | PNL = 0.05
09:21:10 | 22250 PE current:44.55 entry:43.9 | 22750 CE current:41.15 entry:41.95 | PNL = 0.15
09:21:13 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:40.55 entry:41.95 | PNL = 0.7
09:21:17 | 22250 PE current:44.7 entry:43.9 | 22750 CE current:40.25 entry:41.95 | PNL = 0.9
09:21:21 | 22250 PE current:44.95 entry:43.9 | 22750 CE current:39.9 entry:41.95 | PNL = 1.0
09:21:24 | 22250 PE current:45.0 entry:43.9 | 22750 CE current:39.15 entry:41.95 | PNL = 1.7
09:21:28 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:38.9 entry:41.95 | PNL = 2.35
09:21:32 | 22250 PE current:44.95 entry:43.9 | 22750 CE current:39.1 entry:41.95 | PNL = 1.8
09:21:35 | 22250 PE current:44.9 entry:43.9 | 22750 CE current:39.85 entry:41.95 | PNL = 1.1
09:21:39 | 22250 PE current:44.65 entry:43.9 | 22750 CE current:39.5 entry:41.95 | PNL = 1.7
09:21:43 | 22250 PE current:44.65 entry:43.9 | 22750 CE current:39.25 entry:41.95 | PNL = 1.95
09:21:46 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:39.4 entry:41.95 | PNL = 1.85
09:21:49 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:39.8 entry:41.95 | PNL = 1.45
09:21:53 | 22250 PE current:44.5 entry:43.9 | 22750 CE current:40.1 entry:41.95 | PNL = 1.25
09:21:56 | 22250 PE current:44.3 entry:43.9 | 22750 CE current:40.1 entry:41.95 | PNL = 1.45
09:21:59 | 22250 PE current:44.4 entry:43.9 | 22750 CE current:40.4 entry:41.95 | PNL = 1.05
09:22:03 | 22250 PE current:44.35 entry:43.9 | 22750 CE current:40.05 entry:41.95 | PNL = 1.45
09:22:07 | 22250 PE current:44.15 entry:43.9 | 22750 CE current:40.3 entry:41.95 | PNL = 1.4
09:22:10 | 22250 PE current:44.45 entry:43.9 | 22750 CE current:40.35 entry:41.95 | PNL = 1.05
09:22:14 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:39.95 entry:41.95 | PNL = 1.3
09:22:17 | 22250 PE current:44.3 entry:43.9 | 22750 CE current:40.0 entry:41.95 | PNL = 1.55
09:22:20 | 22250 PE current:44.5 entry:43.9 | 22750 CE current:39.75 entry:41.95 | PNL = 1.6
09:22:24 | 22250 PE current:44.8 entry:43.9 | 22750 CE current:39.4 entry:41.95 | PNL = 1.65
09:22:28 | 22250 PE current:45.3 entry:43.9 | 22750 CE current:39.15 entry:41.95 | PNL = 1.4
09:22:32 | 22250 PE current:45.3 entry:43.9 | 22750 CE current:38.8 entry:41.95 | PNL = 1.75
09:22:36 | 22250 PE current:46.1 entry:43.9 | 22750 CE current:37.65 entry:41.95 | PNL = 2.1
09:22:40 | 22250 PE current:45.65 entry:43.9 | 22750 CE current:37.9 entry:41.95 | PNL = 2.3
09:22:44 | 22250 PE current:45.8 entry:43.9 | 22750 CE current:37.7 entry:41.95 | PNL = 2.35
09:22:47 | 22250 PE current:46.0 entry:43.9 | 22750 CE current:38.45 entry:41.95 | PNL = 1.4
09:22:52 | 22250 PE current:45.4 entry:43.9 | 22750 CE current:39.0 entry:41.95 | PNL = 1.45
09:22:55 | 22250 PE current:45.45 entry:43.9 | 22750 CE current:39.0 entry:41.95 | PNL = 1.4
09:22:58 | 22250 PE current:45.7 entry:43.9 | 22750 CE current:38.55 entry:41.95 | PNL = 1.6
09:23:02 | 22250 PE current:46.0 entry:43.9 | 22750 CE current:37.7 entry:41.95 | PNL = 2.15
09:23:05 | 22250 PE current:45.8 entry:43.9 | 22750 CE current:38.3 entry:41.95 | PNL = 1.75
09:23:09 | 22250 PE current:45.65 entry:43.9 | 22750 CE current:38.15 entry:41.95 | PNL = 2.05
09:23:12 | 22250 PE current:45.85 entry:43.9 | 22750 CE current:37.95 entry:41.95 | PNL = 2.05
09:23:16 | 22250 PE current:46.05 entry:43.9 | 22750 CE current:38.3 entry:41.95 | PNL = 1.5
09:23:20 | 22250 PE current:45.35 entry:43.9 | 22750 CE current:38.8 entry:41.95 | PNL = 1.7
09:23:23 | 22250 PE current:45.3 entry:43.9 | 22750 CE current:39.1 entry:41.95 | PNL = 1.45
09:23:27 | 22250 PE current:45.1 entry:43.9 | 22750 CE current:39.55 entry:41.95 | PNL = 1.2
09:23:30 | 22250 PE current:45.05 entry:43.9 | 22750 CE current:39.55 entry:41.95 | PNL = 1.25
09:23:33 | 22250 PE current:45.2 entry:43.9 | 22750 CE current:39.8 entry:41.95 | PNL = 0.85
09:23:37 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:40.45 entry:41.95 | PNL = 0.8
09:23:40 | 22250 PE current:44.7 entry:43.9 | 22750 CE current:40.45 entry:41.95 | PNL = 0.7
09:23:45 | 22250 PE current:44.55 entry:43.9 | 22750 CE current:40.75 entry:41.95 | PNL = 0.55
09:23:49 | 22250 PE current:44.15 entry:43.9 | 22750 CE current:41.9 entry:41.95 | PNL = -0.2
09:23:52 | 22250 PE current:43.7 entry:43.9 | 22750 CE current:42.65 entry:41.95 | PNL = -0.5
09:23:56 | 22250 PE current:44.25 entry:43.9 | 22750 CE current:42.5 entry:41.95 | PNL = -0.9
09:23:59 | 22250 PE current:44.25 entry:43.9 | 22750 CE current:42.85 entry:41.95 | PNL = -1.25
09:24:03 | 22250 PE current:44.2 entry:43.9 | 22750 CE current:41.9 entry:41.95 | PNL = -0.25
09:24:07 | 22250 PE current:44.0 entry:43.9 | 22750 CE current:41.75 entry:41.95 | PNL = 0.1
09:24:10 | 22250 PE current:43.85 entry:43.9 | 22750 CE current:42.45 entry:41.95 | PNL = -0.45
09:24:14 | 22250 PE current:44.2 entry:43.9 | 22750 CE current:42.2 entry:41.95 | PNL = -0.55
09:24:18 | 22250 PE current:44.15 entry:43.9 | 22750 CE current:42.35 entry:41.95 | PNL = -0.65
09:24:22 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:41.7 entry:41.95 | PNL = -0.45
09:24:25 | 22250 PE current:45.1 entry:43.9 | 22750 CE current:40.85 entry:41.95 | PNL = -0.1
09:24:29 | 22250 PE current:44.45 entry:43.9 | 22750 CE current:41.5 entry:41.95 | PNL = -0.1
09:24:33 | 22250 PE current:44.6 entry:43.9 | 22750 CE current:40.95 entry:41.95 | PNL = 0.3
09:24:37 | 22250 PE current:44.9 entry:43.9 | 22750 CE current:40.65 entry:41.95 | PNL = 0.3
09:24:41 | 22250 PE current:44.65 entry:43.9 | 22750 CE current:41.35 entry:41.95 | PNL = -0.15
09:24:45 | 22250 PE current:44.4 entry:43.9 | 22750 CE current:40.95 entry:41.95 | PNL = 0.5
09:24:48 | 22250 PE current:44.2 entry:43.9 | 22750 CE current:41.75 entry:41.95 | PNL = -0.1
09:24:52 | 22250 PE current:44.1 entry:43.9 | 22750 CE current:41.9 entry:41.95 | PNL = -0.15
09:24:55 | 22250 PE current:44.0 entry:43.9 | 22750 CE current:42.15 entry:41.95 | PNL = -0.3
09:24:58 | 22250 PE current:43.85 entry:43.9 | 22750 CE current:41.5 entry:41.95 | PNL = 0.5
09:25:02 | 22250 PE current:43.75 entry:43.9 | 22750 CE current:41.2 entry:41.95 | PNL = 0.9
09:25:06 | 22250 PE current:43.4 entry:43.9 | 22750 CE current:41.2 entry:41.95 | PNL = 1.25
09:25:09 | 22250 PE current:43.35 entry:43.9 | 22750 CE current:41.0 entry:41.95 | PNL = 1.5
09:25:12 | 22250 PE current:43.3 entry:43.9 | 22750 CE current:41.2 entry:41.95 | PNL = 1.35
09:25:16 | 22250 PE current:42.6 entry:43.9 | 22750 CE current:41.8 entry:41.95 | PNL = 1.45
09:25:20 | 22250 PE current:43.45 entry:43.9 | 22750 CE current:41.15 entry:41.95 | PNL = 1.25
09:25:23 | 22250 PE current:44.15 entry:43.9 | 22750 CE current:40.55 entry:41.95 | PNL = 1.15
09:25:27 | 22250 PE current:43.85 entry:43.9 | 22750 CE current:40.55 entry:41.95 | PNL = 1.45
09:25:30 | 22250 PE current:43.5 entry:43.9 | 22750 CE current:41.3 entry:41.95 | PNL = 1.05
09:25:34 | 22250 PE current:43.7 entry:43.9 | 22750 CE current:41.35 entry:41.95 | PNL = 0.8
09:25:37 | 22250 PE current:43.45 entry:43.9 | 22750 CE current:41.55 entry:41.95 | PNL = 0.85
09:25:42 | 22250 PE current:43.25 entry:43.9 | 22750 CE current:41.3 entry:41.95 | PNL = 1.3
09:25:45 | 22250 PE current:43.2 entry:43.9 | 22750 CE current:40.85 entry:41.95 | PNL = 1.8
